#DESC MOVES-ready Temperature-bin-specific averaged RH output for RPD and RPV modes
#GRDNAME: METCRO_12US2_CRO12CONUS1        
#MCXREF : /garnet/oaqps/em_v6.2/ge_dat/onroad/MCXREF_2011eg_22aug2014_v0
#MFMREF : /garnet/oaqps/em_v6.2/ge_dat/onroad/MFMREF_2011eg_22aug2014_v0
#MODELING PERIOD :  2011001 - 2011365
#TEMP_BUFFER_BIN :    10.00
#PD_TEMP_INCREMENT     5
#PV_TEMP_INCREMENT     5
RefCounty,FuelMonth,avgRH,min_temp,max_temp,tempBin
006001,    1,   63.268276,     14.17,     97.17,   10
006001,    1,   63.268276,     14.17,     97.17,   15
006001,    1,   63.268276,     14.17,     97.17,   20
006001,    1,   63.268276,     14.17,     97.17,   25
006001,    1,   71.306450,     14.17,     97.17,   30
006001,    1,   75.242020,     14.17,     97.17,   35
006001,    1,   75.517174,     14.17,     97.17,   40
006001,    1,   75.391891,     14.17,     97.17,   45
006001,    1,   72.690819,     14.17,     97.17,   50
006001,    1,   65.590660,     14.17,     97.17,   55
006001,    1,   59.560005,     14.17,     97.17,   60
006001,    1,   48.580551,     14.17,     97.17,   65
006001,    1,   39.453152,     14.17,     97.17,   70
006001,    1,   36.176395,     14.17,     97.17,   75
006001,    1,   29.332853,     14.17,     97.17,   80
006001,    1,   24.955761,     14.17,     97.17,   85
006001,    1,   24.955761,     14.17,     97.17,   90
006001,    1,   24.955761,     14.17,     97.17,   95
006001,    1,   24.955761,     14.17,     97.17,  100
006001,    7,   94.098679,     26.12,    110.35,   25
006001,    7,   94.098679,     26.12,    110.35,   30
006001,    7,   94.098679,     26.12,    110.35,   35
006001,    7,   90.237663,     26.12,    110.35,   40
006001,    7,   86.791626,     26.12,    110.35,   45
006001,    7,   84.832420,     26.12,    110.35,   50
006001,    7,   85.660507,     26.12,    110.35,   55
006001,    7,   75.902199,     26.12,    110.35,   60
006001,    7,   61.950497,     26.12,    110.35,   65
006001,    7,   51.931747,     26.12,    110.35,   70
006001,    7,   44.244976,     26.12,    110.35,   75
006001,    7,   38.063839,     26.12,    110.35,   80
006001,    7,   30.588079,     26.12,    110.35,   85
006001,    7,   24.406792,     26.12,    110.35,   90
006001,    7,   19.946766,     26.12,    110.35,   95
006001,    7,   18.284922,     26.12,    110.35,  100
006001,    7,   18.284922,     26.12,    110.35,  105
006001,    7,   18.284922,     26.12,    110.35,  110
006001,    7,   18.284922,     26.12,    110.35,  115
