monthID,zoneID,hourID,temperature,relHumidity
1,060010,1, 10.0, 63.3
1,060010,2, 15.0, 63.3
1,060010,3, 20.0, 63.3
1,060010,4, 25.0, 63.3
1,060010,5, 30.0, 71.3
1,060010,6, 35.0, 75.2
1,060010,7, 40.0, 75.5
1,060010,8, 45.0, 75.4
1,060010,9, 50.0, 72.7
1,060010,10, 55.0, 65.6
1,060010,11, 60.0, 59.6
1,060010,12, 65.0, 48.6
1,060010,13, 70.0, 39.5
1,060010,14, 75.0, 36.2
1,060010,15, 80.0, 29.3
1,060010,16, 85.0, 25.0
1,060010,17, 90.0, 25.0
1,060010,18, 95.0, 25.0
1,060010,19,100.0, 25.0
1,060010,20,100.0, 25.0
1,060010,21,100.0, 25.0
1,060010,22,100.0, 25.0
1,060010,23,100.0, 25.0
1,060010,24,100.0, 25.0
