"MOVES2014 Pollutant ID","MOVES2014 Pollutant Name","SMOKE Pollutant/Model Species Name","mole/mass","MOVES2014 Process IDs (optional)"
1,"Total Gaseous Hydrocarbons","THC_INV","mass"
2,"Carbon Monoxide (CO)","CO_INV","mass"
3,"Oxides of Nitrogen (NOx)","NOX","mass"
5,"Methane (CH4)","CH4_INV","mass"
6,"Nitrous Oxide (N2O)","N2O_INV","mass"
20,"Benzene","BENZENE_INV","mass"
21,"Ethanol","ETHANOL","mass"
22,"MTBE","MTBE","mass"
23,"Naphthalene particle","NAPHTH_p","mass"
24,"1,3-Butadiene","BUTADIE","mass"
25,"Formaldehyde","FORMALD","mass"
26,"Acetaldehyde","ACETALD","mass"
27,"Acrolein","ACROLEI","mass"
30,"Ammonia (NH3)","NH3_INV","mass"
31,"Sulfur Dioxide (SO2)","SO2_INV","mass"
32,"Nitrogen Oxide (NO)","NO_INV","mass"
33,"Nitrogen Dioxide (NO2)","NO2_INV","mass"
34,"Nitrous Acid (HONO)","HONO_INV","mass"
35,"Nitrate (NO3)","PNO3","mass"
36,"Ammonium (NH4)","PNH4","mass"
40,"2,2,4-Trimethylpentane","TRMEPN224","mass"
41,"Ethyl Benzene","ETHYLBENZ","mass"
42,"Hexane","HEXANE","mass"
43,"Propionaldehyde","PROPIONAL","mass"
44,"Styrene","STYRENE","mass"
45,"Toluene","TOLUENE","mass"
46,"Xylene","XYLS","mass"
51,"Chloride","PCL","mass"
52,"Sodium","PNA","mass"
53,"Potassium","PK","mass"
54,"Magnesium","PMG","mass"
55,"Calcium","PCA","mass"
56,"Titanium","PTI","mass"
57,"Silicon","PSI","mass"
58,"Aluminum","PAL","mass"
59,"Iron","PFE","mass"
66,"Manganese Compounds","PMN","mass"
86,"Total Organic Gases","TOG_INV","mass"
87,"Volatile Organic Compounds","VOC_INV","mass"
88,"NonHAPTOG","NONHAPTOG","mass"
88,"NonHAPTOG","EXH_NHTOG","mass","1 2 15 16 17 90 91"
88,"NonHAPTOG","EPM_NHTOG","mass","11"
88,"NonHAPTOG","EVP_NHTOG","mass","12 13"
88,"NonHAPTOG","RFL_NHTOG","mass","18 19"
90,"Atmospheric CO2","CO2_INV","mass"
100,"Primary Exhaust PM10  - Total","PM10","mass"
101,"Primary PM10 - Organic Carbon","POC10","mass"
102,"Primary PM10 - Elemental Carbon","PEC10","mass"
105,"Primary PM10 - Sulfate Particulate","PSO410","mass"
106,"Primary PM10 - Brakewear Particulate","BRAKEPM10","mass"
107,"Primary PM10 - Tirewear Particulate","TIREPM10","mass"
110,"Primary Exhaust PM2.5 - Total","PM2_5","mass"
111,"Organic Carbon","POC","mass"
112,"Elemental Carbon","PEC","mass"
115,"Sulfate Particulate","PSO4","mass"
116,"Primary PM2.5 - Brakewear Particulate","PM25BRAKE","mass"
117,"Primary PM2.5 - Tirewear Particulate","PM25TIRE","mass"
119,"H2O (aerosol)","PH2O","mass"
121,"CMAQ5.0 Unspeciated (PMOTHR)","PMOTHR","mass"
122,"Non-carbon Organic Matter (NCOM)","PNCOM","mass"
185,"Naphthalene gas","NAPHTH_g",mass
1501,"CB06_ALD2","ALD2","gmole"
1502,"CB06_ALDX","ALDX","gmole"
1503,"CB06_BENZENE","BENZENE","gmole"
1504,"CB06_CH4","CH4","gmole"
1505,"CB06_ETH","ETH","gmole"
1506,"CB06_ETHA","ETHA","gmole"
1507,"CB06_ETOH","ETOH","gmole"
1508,"CB06_FORM","FORM","gmole"
1509,"CB06_IOLE","IOLE","gmole"
1510,"CB06_ISOP","ISOP","gmole"
1511,"CB06_MEOH","MEOH","gmole"
1512,"CB06_OLE","OLE","gmole"
1513,"CB06_PAR","PAR","gmole"
1514,"CB06_TERP","TERP","gmole"
1515,"CB06_TOL","TOL","gmole"
1516,"CB06_UNK","UNK","gmole"
1517,"CB06_UNR","UNR","gmole"
1518,"CB06_XYL","XYL","gmole"
1519,"CB06_ACET","ACET","gmole"
1520,"CB06_BENZ","BENZ","gmole"
1521,"CB06_ETHY","ETHY","gmole"
1522,"CB06_KET","KET","gmole"
1523,"CB06_PRPA","PRPA","gmole"
