"MOVES2014 Pollutant ID","MOVES2014 Pollutant Name","SMOKE Pollutant/Model Species Name","mole/mass"
1,"Total Gaseous Hydrocarbons","THC_INV","mass"
2,"Carbon Monoxide (CO)","CO_INV","mass"
3,"Oxides of Nitrogen (NOx)","NOX","mass"
5,"Methane (CH4)","CH4_INV","mass"
6,"Nitrous Oxide (N2O)","N2O_INV","mass"
20,"Benzene","BENZENE_INV","mass"
21,"Ethanol","ETHANOL","mass"
22,"MTBE","MTBE","mass"
23,"Naphthalene particle","NAPHTH_p","mass"
24,"1,3-Butadiene","BUTADIE","mass"
25,"Formaldehyde","FORMALD","mass"
26,"Acetaldehyde","ACETALD","mass"
27,"Acrolein","ACROLEI","mass"
30,"Ammonia (NH3)","NH3_INV","mass"
31,"Sulfur Dioxide (SO2)","SO2_INV","mass"
32,"Nitrogen Oxide (NO)","NO_INV","mass"
33,"Nitrogen Dioxide (NO2)","NO2_INV","mass"
34,"Nitrous Acid (HONO)","HONO_INV","mass"
35,"Nitrate (NO3)","PNO3","mass"
36,"Ammonium (NH4)","PNH4","mass"
40,"2,2,4-Trimethylpentane","TRMEPN224","mass"
41,"Ethyl Benzene","ETHYLBENZ","mass"
42,"Hexane","HEXANE","mass"
43,"Propionaldehyde","PROPIONAL","mass"
44,"Styrene","STYRENE","mass"
45,"Toluene","TOLUENE","mass"
46,"Xylene","XYLS","mass"
51,"Chloride","PCL","mass"
52,"Sodium","PNA","mass"
53,"Potassium","PK","mass"
54,"Magnesium","PMG","mass"
55,"Calcium","PCA","mass"
56,"Titanium","PTI","mass"
57,"Silicon","PSI","mass"
58,"Aluminum","PAL","mass"
59,"Iron","PFE","mass"
60,"Mercury Elemental Gaseous","HG","mass"
61,"Mercury Divalent Gaseous","HGIIGAS_INV","mass"
62,"Mercury Particulate","PHGI","mass"
63,"Arsenic Compounds","ARSENIC","mass"
64,"Chromium 3+","CHROMTRI","mass"
65,"Chromium 6+","CHROMHEX","mass"
66,"Manganese Compounds","PMN","mass"
67,"Nickel Compounds","NICKEL","mass"
68,"Dibenzo(a,h)anthracene particle","DIBENZAHA_p","mass"
69,"Fluoranthene particle","FLUORANTH_p","mass"
70,"Acenaphthene particle","ACENAPENE_p","mass"
71,"Acenaphthylene particle","ACENAPHTY_p","mass"
72,"Anthracene particle","ANTHRACEN_p","mass"
73,"Benz(a)anthracene particle","BENZAANTH_p","mass"
74,"Benzo(a)pyrene particle","BENZOAPYR_p","mass"
75,"Benzo(b)fluoranthene particle","BENZOBFLU_p","mass"
76,"Benzo(g,h,i)perylene particle","BENZOGHIP_p","mass"
77,"Benzo(k)fluoranthene particle","BENZOKFLU_p","mass"
78,"Chrysene particle","CHRYSENE_p","mass"
81,"Fluorene particle","FLUORENE_p","mass"
82,"Indeno(1,2,3,c,d)pyrene particle","INDENO123_p","mass"
83,"Phenanthrene particle","PHENANTHR_p","mass"
84,"Pyrene particle","PYRENE_p","mass"
86,"Total Organic Gases","TOG","mass"
87,"Volatile Organic Compounds","VOC_INV","mass"
88,"NonHAPTOG","NONHAPTOG","mass"
90,"Atmospheric CO2","CO2_INV","mass"
100,"Primary Exhaust PM10  - Total","PM10","mass"
101,"Primary PM10 - Organic Carbon","POC10","mass"
102,"Primary PM10 - Elemental Carbon","PEC10","mass"
105,"Primary PM10 - Sulfate Particulate","PSO410","mass"
106,"Primary PM10 - Brakewear Particulate","BRAKEPM10","mass"
107,"Primary PM10 - Tirewear Particulate","TIREPM10","mass"
110,"Primary Exhaust PM2.5 - Total","PM2_5","mass"
111,"Organic Carbon","POC","mass"
112,"Elemental Carbon","PEC","mass"
115,"Sulfate Particulate","PSO4","mass"
116,"Primary PM2.5 - Brakewear Particulate","PM25BRAKE","mass"
117,"Primary PM2.5 - Tirewear Particulate","PM25TIRE","mass"
119,"H2O (aerosol)","PH2O","mass"
121,"CMAQ5.0 Unspeciated (PMOTHR)","PMOTHR","mass"
122,"Non-carbon Organic Matter (NCOM)","PNCOM","mass"
168,"Dibenzo(a,h)anthracene gas","DIBENZAHA_g",mass
169,"Fluoranthene gas","FLUORANTH_g",mass
170,"Acenaphthene gas","ACENAPENE_g",mass
171,"Acenaphthylene gas","ACENAPHTY_g",mass
172,"Anthracene gas","ANTHRACEN_g",mass
173,"Benz(a)anthracene gas","BENZAANTH_g",mass
174,"Benzo(a)pyrene gas","BENZOAPYR_g",mass
175,"Benzo(b)fluoranthene gas","BENZOBFLU_g",mass
176,"Benzo(g,h,i)perylene gas","BENZOGHIP_g",mass
177,"Benzo(k)fluoranthene gas","BENZOKFLU_g",mass
178,"Chrysene gas","CHRYSENE_g",mass
181,"Fluorene gas","FLUORENE_g",mass
182,"Indeno(1,2,3,c,d)pyrene gas","INDENO123_g",mass
183,"Phenanthrene gas","PHENANTHR_g",mass
184,"Pyrene gas","PYRENE_g",mass
185,"Naphthalene gas","NAPHTH_g",mass
1001,"CB05_ALD2","ALD2","gmole"
1002,"CB05_ALDX","ALDX","gmole"
1003,"CB05_BENZENE","BENZENE","gmole"
1004,"CB05_CH4","CH4","gmole"
1005,"CB05_ETH","ETH","gmole"
1006,"CB05_ETHA","ETHA","gmole"
1007,"CB05_ETOH","ETOH","gmole"
1008,"CB05_FORM","FORM","gmole"
1009,"CB05_IOLE","IOLE","gmole"
1010,"CB05_ISOP","ISOP","gmole"
1011,"CB05_MEOH","MEOH","gmole"
1012,"CB05_OLE","OLE","gmole"
1013,"CB05_PAR","PAR","gmole"
1014,"CB05_TERP","TERP","gmole"
1015,"CB05_TOL","TOL","gmole"
1016,"CB05_UNK","UNK","gmole"
1017,"CB05_UNR","UNR","gmole"
1018,"CB05_XYL","XYL","gmole"
